allergen_id,token,token_type,canonical_name
1.0,belgian milk chocolate,derived,
1.0,rice milk,derived,
1.0,sheeps milk,derived,
1.0,skim milk powder,ingredient,milk
1.0,whey powder,ingredient,milk
1.0,whey protein,ingredient,milk
1.0,cheese,ingredient,milk
1.0,cream cheese,ingredient,milk
1.0,cottage cheese,ingredient,milk
1.0,cheddar,ingredient,milk
1.0,parmesan,ingredient,milk
1.0,condensed milk,ingredient,milk
1.0,ice cream,ingredient,milk
1.0,curd,ingredient,milk
1.0,sour cream,ingredient,milk
1.0,whole goat milk uht,derived,
1.0,cream with 12% milk fat,derived,
1.0,pasteurized skimmed milk,derived,
1.0,sheep and goat milk,derived,
1.0,sweetened condensed skimmed milk,derived,
1.0,milk coating,derived,
1.0,second age baby milk powder,derived,
1.0,uht sterilised skimmed milk,derived,
1.0,buttermilk solids,derived,
1.0,coconut milk drink,derived,
1.0,first age baby milk powder,derived,
1.0,cantal cheese half matured from cow's milk,derived,
1.0,cream with 25% milk fat,derived,
1.0,milk filling,derived,
1.0,cow's milk,derived,
1.0,skimmed milk soft cheese,derived,
1.0,whole milk yogurt,derived,
1.0,skimmed milk yogurt powder,derived,
1.0,pasteurized milk yogurt,derived,
1.0,sheeps or goat milk,derived,
1.0,pasteurized milk and cream,derived,
1.0,whole milk,derived,
1.0,skimmed milk,derived,
1.0,milk from france,derived,
1.0,cream with 22% milk fat,derived,
1.0,milk,ingredient,
1.0,milk powder,ingredient,
1.0,casein,ingredient,
1.0,whey,ingredient,
1.0,lactose,ingredient,
1.0,cream,ingredient,
1.0,butter,ingredient,
1.0,ghee,ingredient,
2.0,egg,ingredient,
2.0,albumin,ingredient,
2.0,ovalbumin,ingredient,
2.0,egg powder,ingredient,
2.0,rehydrated egg white,derived,
2.0,whole fresh eggs,derived,
2.0,egg white powder,ingredient,egg
2.0,fresh egg,derived,
2.0,chick egg white or protein,derived,
2.0,pasteurised free range egg yolk,derived,
2.0,organic free range chicken eggs,derived,
2.0,lumpfish egg,derived,
2.0,whole powdered chicken egg,derived,
2.0,pasteurised egg yolk,derived,
2.0,eggs from caged hens,derived,
2.0,liquid whole egg,derived,
2.0,egg protein,derived,
2.0,free range egg white,derived,
2.0,eggs yolk powder from free range hens,derived,
2.0,chicken egg yolk powder,derived,
2.0,fresh category a eggs,derived,
2.0,pasteurized fresh egg,derived,
2.0,boiled egg,derived,
2.0,organic chicken egg,derived,
2.0,free range egg yolk,derived,
2.0,pasteurised egg white powder,derived,
2.0,egg flavour,derived,
2.0,free range chicken eggs,derived,
2.0,whole egg,derived,
2.0,parmigiano reggiano,derived,
2.0,free range pasteurised egg,derived,
2.0,eggs from switzerland,derived,
2.0,whole liquid pasteurised egg,derived,
2.0,egg pasta,derived,
2.0,egg yolk powder,derived,
2.0,egg derivatives,derived,
2.0,whole powdered egg,derived,
2.0,chicken egg yolk,derived,
2.0,poached egg,derived,
2.0,egg white,derived,
2.0,liquid egg,derived,
2.0,cooked egg yolk,derived,
2.0,liquid egg yolk,derived,
2.0,barn eggs,derived,
2.0,liquid egg white,derived,
2.0,quail eggs,derived,
2.0,raw duck egg,derived,
2.0,liquid whole free range egg,derived,
2.0,lysozyme from eggs,derived,
2.0,fresh egg pasta,derived,
2.0,category a eggs,derived,
2.0,free range eggs,derived,
2.0,powdered egg white,derived,
2.0,tuna egg,derived,
2.0,free range chicken egg yolk,derived,
2.0,cooked egg white,derived,
2.0,chicken egg,derived,
2.0,sugared egg yolk,derived,
2.0,taleggio,derived,
2.0,dried egg,ingredient,egg
2.0,egg albumin,ingredient,egg
2.0,egg lecithin,ingredient,egg
2.0,hard-boiled egg,derived,
2.0,egg yolk,derived,
2.0,large eggs,derived,
2.0,duck egg,derived,
2.0,soft-boiled egg,derived,
2.0,concentrated whole egg,derived,
2.0,chicken egg white,derived,
3.0,peanuts,ingredient,peanut
3.0,honey roasted peanuts,derived,
3.0,peanut paste,derived,
3.0,monkey nuts,ingredient,peanut
3.0,crunchy peanut butter,derived,
3.0,roasted peanuts,derived,
3.0,milled roasted peanuts,derived,
3.0,peanut with shell,derived,
3.0,peanut,ingredient,
3.0,arachis oil,ingredient,
3.0,groundnut,ingredient,
3.0,groundnut oil,ingredient,peanut
3.0,peanut butter,ingredient,peanut
3.0,shelled peanuts,derived,
3.0,peanut flour,derived,
3.0,peanut oil,derived,
3.0,peanut oil or hazelnut oil,derived,
3.0,organic roasted peanuts,derived,
3.0,natural peanut flavouring,derived,
4.0,tree nut,derived,
26.0,cashew,ingredient,
4.0,hazelnut,ingredient,
4.0,pecan,ingredient,
29.0,walnut,ingredient,
4.0,pistachio,ingredient,
22.0,almond,ingredient,
5.0,soy protein,derived,
5.0,dehydrated soy protein,derived,
5.0,hulled soya bean,derived,
5.0,partially hydrogenated soybean oil,derived,
5.0,textured soy protein,derived,
5.0,gmo-free soy lecithin,derived,
5.0,soy bran,derived,
5.0,soya flour restructured and rehydrated,derived,
5.0,whole soybean grain,derived,
5.0,soy sauce,derived,
5.0,soyabean,ingredient,soy
5.0,soybeans,ingredient,soy
5.0,soybean paste,ingredient,soy
5.0,miso paste,ingredient,soy
5.0,miso,ingredient,soy
5.0,soy flour,ingredient,soy
5.0,soya bean paste,derived,
5.0,natto,ingredient,soy
5.0,soybean oil,ingredient,soy
5.0,soya flower,derived,
5.0,soya bean,derived,
5.0,hydrolysed soy protein,derived,
5.0,rehydrated soy fiber,derived,
5.0,soy fiber,derived,
5.0,light soy sauce,derived,
5.0,rehydrated soy protein,derived,
5.0,soy protein isolate,derived,
5.0,black soy bean,derived,
5.0,soya oil,derived,
5.0,restructured soya flour,derived,
5.0,soy preparation,derived,
5.0,sprouted soybeans,derived,
5.0,proteic extruded soy,derived,
5.0,sweet soy sauce,derived,
5.0,soy and sesame sauce,derived,
5.0,refined soya oil,derived,
5.0,gmo-free hulled soya bean,derived,
